species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
Adelie,Torgersen,41.6,16.8,199.0,4150.0,male,2007
Adelie,Torgersen,38.8,18.3,197.0,4450.0,female,2007
Adelie,Torgersen,43.5,12.2,186.0,2770.0,female,2007
Adelie,Torgersen,,,,,,2007
Adelie,Torgersen,35.5,16.4,166.0,2220.0,female,2007
Adelie,Torgersen,38.1,19.7,205.0,2190.0,male,2007
Adelie,Torgersen,46.8,19.0,196.0,3850.0,female,2007
Adelie,Torgersen,43.0,25.5,187.0,5720.0,male,2007
Adelie,Torgersen,31.8,21.5,201.0,5160.0,,2007
Adelie,Torgersen,44.7,19.6,159.0,3790.0,,2007
Adelie,Torgersen,35.5,17.0,209.0,4380.0,,2007
Adelie,Torgersen,35.5,13.3,175.0,3660.0,,2007
Adelie,Torgersen,42.3,17.5,169.0,3030.0,female,2007
Adelie,Torgersen,29.0,20.0,217.0,4680.0,male,2007
Adelie,Torgersen,26.0,22.4,180.0,5050.0,male,2007
Adelie,Torgersen,33.8,14.5,150.0,2120.0,female,2007
Adelie,Torgersen,33.6,21.1,156.0,4930.0,female,2007
Adelie,Torgersen,44.1,26.8,212.0,5880.0,male,2007
Adelie,Torgersen,29.9,18.0,152.0,2700.0,female,2007
Adelie,Torgersen,38.9,23.1,238.0,4600.0,male,2007
Adelie,Biscoe,45.1,21.1,122.0,3890.0,female,2007
Adelie,Biscoe,36.6,17.1,222.0,3860.0,male,2007
Adelie,Biscoe,36.2,20.1,194.0,3250.0,female,2007
Adelie,Biscoe,31.1,18.2,183.0,3280.0,male,2007
Adelie,Biscoe,36.1,17.6,166.0,3770.0,male,2007
Adelie,Biscoe,35.9,15.8,197.0,4970.0,female,2007
Adelie,Biscoe,34.8,18.7,182.0,4090.0,male,2007
Adelie,Biscoe,42.4,19.9,215.0,2830.0,female,2007
Adelie,Biscoe,34.9,24.4,175.0,3920.0,female,2007
Adelie,Biscoe,39.0,22.7,184.0,1100.0,male,2007
Adelie,Dream,36.5,25.3,169.0,4400.0,female,2007
Adelie,Dream,46.5,15.0,177.0,2160.0,male,2007
Adelie,Dream,39.4,21.3,196.0,2940.0,female,2007
Adelie,Dream,35.6,19.6,141.0,2780.0,male,2007
Adelie,Dream,40.5,25.8,161.0,2030.0,female,2007
Adelie,Dream,33.1,17.9,215.0,5310.0,male,2007
Adelie,Dream,39.8,16.6,194.0,3480.0,male,2007
Adelie,Dream,32.4,16.1,175.0,3900.0,female,2007
Adelie,Dream,31.0,10.8,181.0,3250.0,female,2007
Adelie,Dream,40.8,17.0,193.0,5130.0,male,2007
Adelie,Dream,40.2,15.0,169.0,3230.0,female,2007
Adelie,Dream,41.7,19.0,176.0,2620.0,male,2007
Adelie,Dream,35.4,19.9,191.0,4100.0,female,2007
Adelie,Dream,42.6,27.2,172.0,3910.0,male,2007
Adelie,Dream,29.6,20.7,195.0,1440.0,female,2007
Adelie,Dream,36.0,16.5,147.0,4170.0,male,2007
Adelie,Dream,38.8,15.4,208.0,4930.0,male,2007
Adelie,Dream,42.8,20.9,191.0,3830.0,,2007
Adelie,Dream,37.7,12.6,196.0,3100.0,female,2007
Adelie,Dream,33.5,28.5,216.0,3800.0,male,2007
Adelie,Biscoe,41.2,22.4,228.0,3180.0,female,2008
Adelie,Biscoe,38.2,17.0,213.0,6380.0,male,2008
Adelie,Biscoe,31.6,11.0,144.0,3830.0,female,2008
Adelie,Biscoe,45.1,24.9,168.0,4480.0,male,2008
Adelie,Biscoe,39.7,17.6,171.0,3930.0,female,2008
Adelie,Biscoe,46.1,23.6,192.0,3940.0,male,2008
Adelie,Biscoe,34.8,11.1,199.0,3290.0,female,2008
Adelie,Biscoe,39.1,16.4,175.0,3600.0,male,2008
Adelie,Biscoe,38.2,16.6,186.0,2780.0,female,2008
Adelie,Biscoe,42.5,19.3,175.0,3710.0,male,2008
Adelie,Biscoe,33.3,15.1,170.0,3880.0,female,2008
Adelie,Biscoe,40.4,23.6,160.0,4450.0,male,2008
Adelie,Biscoe,32.1,12.7,162.0,4330.0,female,2008
Adelie,Biscoe,35.1,17.6,158.0,3970.0,male,2008
Adelie,Biscoe,40.5,17.6,160.0,2930.0,female,2008
Adelie,Biscoe,48.4,20.1,218.0,1950.0,male,2008
Adelie,Biscoe,35.1,19.0,171.0,4270.0,female,2008
Adelie,Biscoe,46.1,14.6,254.0,4450.0,male,2008
Adelie,Torgersen,37.7,10.5,202.0,4050.0,female,2008
Adelie,Torgersen,38.6,24.5,203.0,1550.0,male,2008
Adelie,Torgersen,35.3,20.3,169.0,5690.0,female,2008
Adelie,Torgersen,47.4,15.4,208.0,3760.0,male,2008
Adelie,Torgersen,39.4,23.4,182.0,4660.0,female,2008
Adelie,Torgersen,53.6,19.4,200.0,3110.0,male,2008
Adelie,Torgersen,22.4,22.2,254.0,4310.0,female,2008
Adelie,Torgersen,46.9,18.8,193.0,3200.0,male,2008
Adelie,Torgersen,41.3,25.0,220.0,3080.0,female,2008
Adelie,Torgersen,35.7,26.4,166.0,5810.0,male,2008
Adelie,Torgersen,36.7,15.1,186.0,3360.0,female,2008
Adelie,Torgersen,32.2,23.0,239.0,4220.0,male,2008
Adelie,Torgersen,33.5,19.8,173.0,4070.0,female,2008
Adelie,Torgersen,44.7,23.1,241.0,5200.0,male,2008
Adelie,Torgersen,44.1,14.9,205.0,3950.0,female,2008
Adelie,Torgersen,32.5,22.1,179.0,4560.0,male,2008
Adelie,Dream,33.3,22.0,207.0,5750.0,female,2008
Adelie,Dream,38.8,13.3,218.0,3490.0,male,2008
Adelie,Dream,40.9,14.8,206.0,4000.0,male,2008
Adelie,Dream,38.5,10.4,150.0,4550.0,female,2008
Adelie,Dream,35.7,18.1,171.0,5060.0,male,2008
Adelie,Dream,41.5,21.7,184.0,4790.0,female,2008
Adelie,Dream,36.2,24.0,200.0,4190.0,female,2008
Adelie,Dream,45.9,18.4,221.0,3160.0,male,2008
Adelie,Dream,30.5,23.6,189.0,5030.0,female,2008
Adelie,Dream,38.0,12.6,153.0,3300.0,male,2008
Adelie,Dream,34.2,10.5,197.0,3600.0,female,2008
Adelie,Dream,33.5,18.7,223.0,3550.0,male,2008
Adelie,Dream,39.6,20.1,204.0,3640.0,female,2008
Adelie,Dream,41.6,18.4,223.0,4680.0,male,2008
Adelie,Dream,33.1,7.8,199.0,3220.0,female,2008
Adelie,Dream,42.0,18.1,203.0,4520.0,male,2008
Adelie,Biscoe,27.9,12.7,190.0,5340.0,female,2009
Adelie,Biscoe,38.9,22.7,161.0,5180.0,male,2009
Adelie,Biscoe,36.0,17.5,194.0,2830.0,female,2009
Adelie,Biscoe,33.8,16.2,195.0,5210.0,male,2009
Adelie,Biscoe,37.1,16.5,200.0,4110.0,female,2009
Adelie,Biscoe,41.7,14.7,152.0,2320.0,male,2009
Adelie,Biscoe,48.0,16.9,172.0,4350.0,female,2009
Adelie,Biscoe,39.1,23.8,216.0,4600.0,male,2009
Adelie,Biscoe,39.4,13.1,180.0,2880.0,female,2009
Adelie,Biscoe,42.8,21.0,214.0,6150.0,male,2009
Adelie,Biscoe,28.5,14.4,199.0,3670.0,female,2009
Adelie,Biscoe,45.5,17.1,192.0,4730.0,male,2009
Adelie,Biscoe,40.0,17.3,216.0,3030.0,female,2009
Adelie,Biscoe,54.5,15.4,184.0,4290.0,male,2009
Adelie,Biscoe,38.6,18.5,193.0,2800.0,female,2009
Adelie,Biscoe,44.2,13.5,184.0,2630.0,male,2009
Adelie,Torgersen,38.4,24.9,177.0,4490.0,female,2009
Adelie,Torgersen,31.5,20.6,191.0,2930.0,male,2009
Adelie,Torgersen,41.4,14.2,195.0,2360.0,female,2009
Adelie,Torgersen,44.9,19.5,177.0,1170.0,male,2009
Adelie,Torgersen,40.2,16.8,218.0,2510.0,female,2009
Adelie,Torgersen,33.2,18.9,176.0,2180.0,male,2009
Adelie,Torgersen,47.2,19.5,171.0,5090.0,female,2009
Adelie,Torgersen,34.4,21.5,191.0,4880.0,male,2009
Adelie,Torgersen,38.1,13.8,222.0,2360.0,female,2009
Adelie,Torgersen,51.6,16.7,204.0,6250.0,male,2009
Adelie,Torgersen,33.8,16.5,217.0,4260.0,female,2009
Adelie,Torgersen,38.7,9.1,158.0,3980.0,male,2009
Adelie,Torgersen,39.5,11.0,198.0,550.0,female,2009
Adelie,Torgersen,41.6,23.5,232.0,6290.0,male,2009
Adelie,Torgersen,30.7,24.5,192.0,1940.0,female,2009
Adelie,Torgersen,43.4,18.2,224.0,1850.0,male,2009
Adelie,Dream,31.5,20.8,180.0,4520.0,female,2009
Adelie,Dream,39.9,19.7,234.0,6910.0,male,2009
Adelie,Dream,33.5,29.9,244.0,4810.0,female,2009
Adelie,Dream,48.8,22.0,181.0,4460.0,male,2009
Adelie,Dream,31.7,17.0,180.0,3770.0,female,2009
Adelie,Dream,38.6,16.3,236.0,4830.0,male,2009
Adelie,Dream,41.1,10.1,224.0,4160.0,female,2009
Adelie,Dream,33.5,18.7,180.0,4530.0,male,2009
Adelie,Dream,41.3,14.1,182.0,3500.0,female,2009
Adelie,Dream,47.1,11.5,180.0,3410.0,male,2009
Adelie,Dream,24.1,12.9,154.0,2300.0,female,2009
Adelie,Dream,41.6,12.7,167.0,3440.0,male,2009
Adelie,Dream,38.6,23.5,167.0,1310.0,female,2009
Adelie,Dream,42.9,22.2,166.0,3550.0,male,2009
Adelie,Dream,33.0,18.6,189.0,3260.0,male,2009
Adelie,Dream,30.0,24.3,190.0,2370.0,female,2009
Adelie,Dream,38.6,18.1,234.0,3630.0,female,2009
Adelie,Dream,39.3,14.7,168.0,5140.0,male,2009
Adelie,Dream,37.3,23.2,212.0,4620.0,female,2009
Adelie,Dream,43.2,20.7,196.0,2430.0,male,2009
Gentoo,Biscoe,42.7,9.1,210.0,3510.0,female,2007
Gentoo,Biscoe,51.2,15.5,247.0,6640.0,male,2007
Gentoo,Biscoe,50.2,10.6,182.0,3470.0,female,2007
Gentoo,Biscoe,46.4,9.7,228.0,5480.0,male,2007
Gentoo,Biscoe,56.9,18.2,219.0,5950.0,male,2007
Gentoo,Biscoe,48.9,21.1,222.0,3580.0,female,2007
Gentoo,Biscoe,39.4,9.0,218.0,4910.0,female,2007
Gentoo,Biscoe,50.0,17.6,280.0,3870.0,male,2007
Gentoo,Biscoe,38.4,10.8,193.0,3800.0,female,2007
Gentoo,Biscoe,50.7,13.5,202.0,5470.0,male,2007
